Respondent,duration,code,priorQ1,updatedQ1,priorQ2,updatedQ2,priorQ3,updatedQ3,priorQ4,updatedQ4,priorQ5,updatedQ5,priorQ6,updatedQ6,priorQ7,updatedQ7,priorQ8,updatedQ8 ,priorQ9,updatedQ9,priorQ10,updatedQ10 ,Advice1,Advice2,Advice3,Advice4,Advice5,Advice6,Advice7,Advice8,Advice9,Advice10,True1,True2,True3,True4,True5,True6,True7,True8,True9,True10,SlNoQ1,SlNoQ2,SlNoQ3,SlNoQ4,SlNoQ5,SlNoQ6,SlNoQ7,SlNoQ8,SlNoQ9,SlNoQ10
274,292,3379,33,31,50,54,48,49,35,40,30,22,60,65,68,73,60,63,25,18,45,49,32,55,52,40,22,68,76,70,16,50,24,51,50,32,20,56,79,67,16,40,24,151,50,32,120,56,179,167,116,140
275,385,3113,61,56,81,82,65,67,29,27,23,18,12,12,41,44,73,73,56,56,88,86,52,85,68,25,14,12,45,74,55,85,49,89,56,23,13,12,43,85,46,96,149,189,56,23,113,12,43,185,146,196
276,535,3171,10,10,42,57,23,20,84,80,7,9,8,8,85,81,77,77,80,76,89,88,10,60,16,78,10,10,78,78,75,85,6,60,16,81,9,7,87,82,87,98,106,160,116,181,109,7,187,182,87,198
277,242,3482,22,22,42,44,14,14,7,8,80,80,52,56,79,78,50,60,2,1,25,19,19,52,14,9,78,63,78,70,1,18,17,48,12,7,99,56,82,63,1,22,17,48,112,107,199,156,182,63,1,22
278,475,3128,62,62,17,17,68,72,84,86,85,85,89,89,91,88,43,45,1,1,93,89,63,14,74,85,82,85,82,45,1,82,56,13,85,96,93,98,100,37,1,92,156,113,185,196,193,198,200,37,1,192
279,353,3196,35,30,6,6,13,13,14,14,2,2,74,74,3,3,57,62,40,34,9,9,32,5,12,13,2,72,3,67,28,10,24,4,8,11,1,81,3,65,21,7,24,104,108,11,101,81,3,65,121,7
280,766,3086,75,78,76,79,31,32,71,73,40,45,69,69,53,58,54,55,35,35,62,65,85,82,35,85,60,85,72,65,35,78,93,100,31,88,55,90,69,59,30,82,93,200,131,88,155,90,169,159,130,82
281,771,3099,85,85,83,83,87,86,27,27,66,70,65,69,55,58,69,70,58,55,12,12,85,82,85,28,78,72,70,73,52,13,97,92,94,26,99,81,63,73,46,11,97,192,194,26,199,81,63,73,46,11
282,699,3292,65,60,50,47,90,80,60,60,75,80,92,90,38,30,60,65,45,40,43,41,68,45,85,52,85,84,22,70,35,35,56,39,98,44,100,99,20,83,30,28,56,139,198,144,100,99,120,183,130,28
283,321,3347,61,63,82,77,79,78,54,54,79,78,14,13,4,5,58,55,16,15,38,43,65,75,76,52,78,12,5,52,15,45,66,85,79,48,78,8,4,50,14,37,166,85,179,48,178,108,4,50,114,137
284,399,3105,52,54,23,25,75,76,73,73,83,80,56,55,89,87,9,9,62,65,84,84,55,27,78,74,75,55,85,9,68,85,62,23,91,71,84,51,88,7,69,96,62,123,91,171,84,51,88,107,69,196
285,515,3437,56,56,62,62,28,28,67,68,70,70,34,42,38,38,27,25,60,60,42,42,65,65,27,70,72,50,45,22,60,45,65,67,23,74,69,43,34,19,55,36,165,67,123,74,169,143,134,19,155,136
286,509,3162,25,22,47,49,46,48,79,81,75,65,70,77,78,73,4,6,3,3,29,28,15,52,50,82,62,78,72,7,3,27,14,33,38,98,57,82,72,5,3,18,114,133,138,98,57,82,172,105,3,118
287,646,3239,60,63,75,75,80,80,39,40,32,28,13,13,80,75,90,93,88,85,30,29,65,74,75,45,22,12,70,95,75,27,55,71,79,32,15,8,74,95,86,22,55,171,79,132,115,108,74,195,86,122
288,477,3285,75,75,47,50,35,35,32,40,72,78,80,75,68,70,85,82,76,74,3,3,75,52,35,45,80,72,72,78,72,3,70,54,35,40,66,74,81,99,80,3,70,54,35,40,66,174,81,199,180,3
289,613,3065,48,52,71,71,53,52,31,32,67,68,38,38,25,19,40,37,36,35,44,42,52,72,52,34,70,40,14,38,35,45,41,76,42,25,63,32,24,33,31,39,141,76,42,25,63,32,124,33,131,139
290,602,3068,5,6,82,81,1,1,78,78,60,60,47,47,39,37,65,65,75,71,65,65,7,78,1,78,60,35,34,65,65,67,5,84,1,83,60,29,26,67,59,65,105,184,1,83,160,129,126,67,159,65
291,1249,3311,56,59,67,65,22,25,26,27,9,9,74,73,51,46,4,5,13,13,75,74,60,62,50,45,10,72,45,5,12,72,64,52,40,32,6,69,37,4,8,77,164,152,140,132,106,169,37,104,108,77
292,426,3261,48,49,10,4,78,78,38,35,83,85,23,23,39,42,31,38,46,46,3,4,55,4,78,32,85,20,45,45,45,5,51,3,78,31,90,17,39,34,37,4,151,103,178,31,90,117,39,134,37,4
293,522,3188,67,67,88,88,42,47,25,27,88,81,62,65,59,59,44,47,68,75,67,67,72,85,60,32,78,72,80,52,82,72,77,90,60,27,91,76,66,47,92,81,77,90,160,27,191,76,66,147,192,81
294,593,3496,66,55,11,11,56,60,38,46,85,81,88,86,74,76,44,46,81,83,86,82,45,10,65,50,76,85,78,55,85,74,37,10,55,38,79,97,82,46,100,85,37,10,55,138,179,97,82,146,100,185
295,512,3458,70,70,63,57,47,47,39,41,11,11,83,83,14,14,35,35,79,79,8,8,67,54,45,45,10,78,14,35,78,10,65,45,43,40,10,84,13,31,82,8,65,145,43,40,10,184,113,131,82,8
296,367,3132,19,24,75,76,55,56,65,66,14,14,28,32,6,7,72,75,81,79,65,68,27,78,60,68,13,35,7,78,78,70,19,86,54,64,11,29,5,84,78,83,119,186,154,64,11,129,105,184,178,183
297,508,3493,58,59,36,39,72,76,82,74,57,63,7,7,63,66,74,73,29,24,48,52,60,40,78,72,65,7,68,72,22,52,54,32,91,76,55,5,63,75,20,49,154,32,91,76,55,105,163,175,20,149
298,369,3324,55,62,72,82,11,10,65,60,52,54,34,45,34,52,68,78,82,75,28,50,62,82,10,60,55,45,52,78,75,50,68,78,10,57,62,32,44,82,87,38,168,78,10,157,62,132,144,182,87,138
299,405,3070,35,30,12,12,8,8,53,60,75,75,53,53,42,42,40,42,90,80,45,40,27,10,7,65,78,54,35,45,82,35,23,10,5,58,86,48,30,41,93,35,123,10,5,158,186,148,130,41,193,35
300,326,3455,70,70,61,59,48,51,3,3,7,9,4,5,31,31,38,41,83,83,68,68,68,55,54,3,10,5,32,50,85,67,64,46,48,2,6,4,29,43,95,65,64,146,148,102,106,104,29,143,95,65
301,452,3474,75,80,43,43,12,12,65,65,60,55,12,10,25,40,70,65,65,65,7,7,85,45,12,68,52,10,45,60,62,7,96,41,8,69,46,10,32,57,68,5,196,41,108,69,46,10,132,157,168,105
302,529,3118,48,47,11,11,88,82,82,88,45,42,76,72,8,9,14,16,10,10,53,53,52,10,75,85,35,70,10,22,10,54,47,9,89,88,30,73,6,15,8,48,47,109,89,88,130,173,106,115,8,148
303,750,3184,69,73,75,79,62,65,76,77,69,72,28,28,27,33,26,27,80,77,61,65,75,82,80,82,78,28,34,28,75,74,76,98,66,92,99,26,26,25,85,85,176,98,66,192,199,26,126,125,85,185
304,206,3167,70,67,10,10,35,40,80,77,70,70,67,67,34,30,75,75,6,6,67,60,72,12,45,78,72,70,32,78,7,65,72,13,39,83,74,62,30,91,5,67,172,13,139,83,174,162,30,191,105,67
305,400,3209,88,85,50,50,7,7,11,12,74,74,42,42,1,1,32,32,81,81,77,77,85,55,7,12,72,45,2,32,85,80,94,46,5,12,77,37,1,30,90,66,94,146,105,12,77,137,101,30,90,66
306,521,3387,60,60,65,67,49,51,48,50,55,60,19,17,32,32,15,13,38,43,59,60,60,72,55,52,65,14,27,10,52,65,60,71,52,47,58,12,19,9,41,55,60,71,52,47,58,112,119,9,141,55
307,535,3442,26,27,38,38,64,64,69,68,10,9,72,73,60,58,36,33,79,80,7,8,34,45,68,72,10,78,60,35,85,12,26,34,63,70,9,91,60,35,90,8,126,134,163,170,109,191,160,35,90,108
308,266,3280,48,55,68,68,51,51,7,8,46,50,30,35,65,68,75,77,8,9,35,40,62,72,55,10,52,40,72,78,10,52,68,75,53,8,46,32,74,92,9,42,168,75,153,8,46,32,174,92,109,142
309,732,3269,75,70,75,72,8,10,65,65,65,60,30,30,45,40,60,55,35,32,6,6,75,78,10,72,65,32,45,60,35,7,80,82,8,76,59,31,44,57,28,5,80,182,8,76,59,31,44,157,28,5
310,309,3442,30,32,35,40,60,62,65,68,14,11,72,75,58,58,32,33,85,85,11,11,34,45,68,72,10,78,60,35,85,12,26,34,63,70,9,91,60,35,90,8,126,134,163,170,109,191,160,35,90,108
311,404,3274,42,42,65,65,47,47,67,70,28,28,24,26,21,21,50,55,82,82,75,75,45,72,45,75,32,34,20,65,82,72,36,81,37,70,27,25,17,65,100,80,136,81,37,70,27,25,117,165,200,180
312,493,3051,33,35,6,5,77,66,40,45,21,18,81,75,47,49,35,35,26,23,31,37,35,5,63,52,15,72,52,35,22,40,28,4,56,41,14,72,42,28,20,32,28,104,156,141,114,172,142,128,120,32
313,290,3058,37,37,46,46,36,36,70,70,68,68,65,65,10,10,34,34,74,74,41,41,35,52,14,65,60,60,10,32,78,52,28,42,24,58,60,57,8,30,92,42,128,42,124,158,60,157,8,30,92,142
314,321,3252,10,10,36,35,60,65,34,28,50,55,80,85,28,30,40,60,50,50,90,86,9,35,65,27,55,85,32,60,55,85,7,28,58,23,51,96,24,55,49,100,107,128,158,123,51,196,24,155,49,100
315,386,3194,58,65,8,8,16,16,75,75,22,25,40,38,70,72,14,14,78,78,40,40,70,10,20,75,27,35,75,14,78,42,63,8,17,85,22,31,84,13,87,36,63,8,117,85,122,131,84,113,187,36
316,740,3102,4,5,90,85,85,85,12,12,78,78,23,25,47,47,67,70,68,70,36,35,7,85,85,12,82,27,45,75,74,35,5,98,89,13,78,22,44,87,71,27,5,198,189,13,78,122,44,87,171,127
317,622,3368,19,15,78,76,42,42,23,40,80,80,92,88,75,85,25,27,57,57,48,50,12,74,45,45,78,85,85,28,60,52,12,85,43,34,81,98,96,25,64,42,12,185,43,134,181,198,196,125,164,42
318,535,3200,47,47,53,53,72,66,3,3,85,85,87,85,60,60,77,77,42,42,35,30,52,52,60,3,85,84,62,78,45,28,42,49,60,3,94,99,52,81,39,26,142,149,60,3,94,99,152,181,139,26
319,738,3102,6,6,88,86,90,88,12,12,84,84,24,24,48,47,64,70,68,68,32,32,7,85,85,12,82,27,45,75,74,35,5,98,89,13,78,22,44,87,71,27,5,198,189,13,78,122,44,87,171,127
320,498,3399,59,66,80,85,64,62,2,2,90,80,39,52,26,32,24,24,88,88,65,73,68,85,60,2,75,52,32,25,85,73,63,98,60,1,88,42,27,23,88,73,163,198,60,101,188,42,27,23,88,73
321,1212,3156,61,61,57,57,43,43,47,47,75,74,82,82,42,44,26,24,49,49,81,81,80,70,45,55,78,78,35,22,65,78,66,63,34,49,92,83,35,20,65,78,66,63,34,49,92,83,35,20,165,178
322,329,3354,77,77,65,65,62,62,68,68,49,49,2,3,37,37,24,24,30,29,79,80,78,65,55,60,52,3,52,16,22,85,78,58,51,60,41,2,35,16,20,93,178,58,151,60,141,2,135,116,120,93
323,577,3447,58,52,64,68,76,76,54,60,33,33,46,65,28,33,22,30,74,70,68,65,52,70,76,60,35,65,35,32,70,65,46,63,79,54,29,55,38,27,83,67,46,63,179,154,129,55,38,27,183,67
324,471,3468,72,72,64,65,33,41,25,18,29,29,46,48,72,72,26,29,68,67,65,65,76,68,52,16,32,54,73,45,65,68,79,63,54,16,30,48,73,34,59,56,179,163,54,16,30,148,73,34,159,56
325,490,3370,36,36,73,74,84,84,29,34,6,6,12,12,10,10,46,46,4,4,82,82,45,78,85,52,7,12,8,48,5,78,41,92,88,42,5,8,6,45,4,87,41,92,88,42,5,108,6,45,4,187
326,968,3103,25,25,70,70,40,42,5,5,82,82,9,9,55,60,19,19,27,27,78,78,28,75,45,4,78,10,65,19,28,75,21,87,43,3,81,9,58,17,26,84,121,87,43,103,181,109,58,17,26,84
327,598,3332,40,42,80,80,50,65,75,80,85,80,85,80,15,14,4,3,86,83,75,80,45,75,70,78,75,78,14,3,82,85,39,84,62,87,89,84,12,3,98,97,39,84,162,187,89,184,112,3,98,197
328,430,3061,10,11,75,75,64,60,65,63,50,54,46,45,75,74,84,79,55,58,80,82,13,75,52,60,52,45,72,75,62,82,11,70,49,57,33,41,75,84,68,98,11,70,149,157,133,41,175,84,168,98
329,547,3240,34,28,3,3,32,35,17,16,78,78,75,75,11,11,17,17,80,80,45,48,22,3,38,13,78,74,12,18,82,52,20,2,33,11,87,85,8,18,93,47,20,2,33,11,187,185,108,18,193,47
330,330,3256,84,84,86,85,29,27,58,64,88,88,81,78,9,9,41,43,78,78,72,72,82,85,22,72,85,75,10,52,78,72,78,97,21,70,94,85,8,50,86,75,78,97,21,170,194,85,8,50,186,175
331,759,3400,93,90,85,84,79,71,24,26,4,4,38,37,79,74,91,83,48,52,87,81,85,82,68,28,5,35,72,75,52,78,90,78,64,21,4,35,81,76,42,78,90,78,64,121,104,35,81,176,142,178
332,536,3142,45,40,60,63,13,14,75,70,50,48,60,55,16,19,5,5,80,78,45,47,38,62,14,70,45,52,20,5,75,50,33,61,12,73,44,50,17,4,89,38,33,61,112,173,44,50,117,104,89,138
333,453,3053,24,19,40,45,90,85,6,10,75,70,85,68,30,32,5,10,30,22,90,85,19,45,85,10,70,68,32,10,22,85,17,37,97,6,83,64,24,8,15,90,17,37,97,106,183,64,24,8,115,190
334,1301,3256,75,80,90,92,21,21,70,70,94,94,85,85,8,8,50,50,86,86,75,75,82,85,22,72,85,75,10,52,78,72,78,97,21,70,94,85,8,50,86,75,78,97,21,170,194,85,8,50,186,175
335,637,3362,90,87,35,35,22,17,28,35,47,52,9,9,16,13,80,75,8,9,43,61,78,35,16,35,52,8,13,72,10,62,78,27,16,28,47,6,11,70,10,52,178,127,16,128,147,6,11,170,10,152
336,408,3176,79,79,56,55,33,38,41,47,85,77,55,57,67,68,22,20,53,52,85,80,78,55,52,54,72,62,70,19,52,75,91,52,35,45,80,52,73,17,48,89,191,52,135,145,180,152,173,17,48,89
337,761,3421,6,5,44,47,14,14,51,52,77,74,80,79,38,47,81,81,17,15,86,80,5,52,14,55,72,78,52,82,12,78,4,47,12,62,71,99,42,78,11,82,104,47,112,62,71,199,42,78,111,182
338,862,3249,8,8,29,29,7,7,63,63,25,25,70,70,46,48,45,45,50,50,95,93,10,35,8,63,35,62,52,35,52,78,7,38,6,56,29,52,47,30,46,78,7,38,6,156,129,152,147,130,46,178
339,283,3316,55,60,60,65,80,80,75,75,30,30,50,55,35,35,45,45,8,8,55,55,63,70,75,82,28,72,50,52,8,62,56,62,85,78,25,68,43,42,6,52,156,162,85,78,125,68,143,142,6,152
340,402,3126,61,63,36,36,26,22,47,49,81,80,85,80,33,33,26,26,77,77,41,41,67,38,18,52,75,75,35,28,75,45,65,33,22,47,85,89,29,25,84,43,65,33,22,147,85,89,129,125,84,43
341,576,3044,38,40,69,72,36,38,49,47,24,26,40,42,61,62,18,19,80,79,45,46,50,75,40,45,27,50,62,20,75,45,38,70,32,44,22,43,68,17,76,37,138,70,32,44,122,143,168,117,176,37
342,670,3195,73,76,25,29,78,78,47,51,74,74,39,41,58,59,81,81,47,50,49,52,78,34,78,52,73,48,62,78,52,55,84,26,86,50,77,45,68,78,44,46,184,126,186,50,177,45,168,178,144,146
343,301,3129,83,76,90,83,86,77,71,68,83,82,34,31,79,79,68,70,85,81,27,27,78,85,78,70,85,32,82,72,75,14,81,90,84,74,97,31,92,69,89,24,181,190,184,74,97,31,192,169,89,124
344,777,3205,75,75,37,45,75,75,60,65,72,72,62,62,55,55,67,67,49,55,8,8,78,52,75,68,70,62,54,65,60,9,99,47,89,63,83,52,48,66,60,7,199,147,89,163,183,152,148,166,160,107
345,578,3337,6,6,79,78,76,76,10,10,73,73,40,42,68,70,65,65,16,16,3,4,8,72,75,10,72,52,75,65,18,5,6,75,88,9,72,42,70,59,15,4,6,175,188,9,172,142,70,159,15,104
346,1363,3498,40,45,33,22,95,92,95,95,50,40,46,50,10,10,59,60,4,5,77,84,50,12,82,85,35,52,9,60,5,85,38,11,100,90,38,47,7,55,4,96,138,111,200,90,38,147,107,155,104,96
347,421,3121,55,53,60,62,8,9,68,64,37,42,32,26,80,83,40,32,70,67,25,24,45,62,10,58,42,22,85,32,67,22,37,61,8,53,36,20,97,29,65,20,37,61,8,53,36,120,197,29,65,20
348,290,3001,34,34,13,13,54,56,44,44,35,35,67,67,36,40,67,70,92,90,90,89,35,12,65,45,35,72,52,78,85,82,30,12,66,39,28,69,33,91,95,98,130,12,166,39,28,169,133,91,95,98
349,282,3146,34,36,20,18,15,15,60,60,70,70,5,5,74,74,78,78,45,45,55,40,45,15,14,55,72,4,75,78,45,35,34,14,12,51,71,3,87,83,39,38,134,114,112,151,71,103,87,83,139,38
350,415,3083,2,2,77,77,61,61,53,53,65,65,61,60,55,55,53,53,85,85,40,15,3,72,60,55,70,54,54,55,85,14,2,70,57,50,67,48,45,49,97,24,2,170,157,150,167,148,145,49,197,124
351,582,3228,63,63,87,85,62,61,58,62,39,38,60,60,23,23,31,31,66,66,53,50,60,78,55,65,35,62,22,14,68,45,64,83,52,72,35,61,20,24,69,43,164,83,52,72,35,61,20,124,69,43
352,470,3107,76,84,78,78,44,44,5,5,81,80,7,7,58,68,34,32,46,50,80,81,82,78,45,5,78,7,70,32,52,82,78,86,40,4,81,5,62,24,54,100,78,186,40,4,181,105,162,24,54,200
353,633,3014,42,46,73,72,85,83,48,49,35,34,22,28,87,82,52,54,85,82,78,75,55,70,85,52,32,28,78,55,78,73,51,73,93,54,24,21,83,46,87,73,151,173,93,54,24,121,83,146,187,73
354,632,3353,92,92,75,70,35,32,25,25,30,31,99,97,87,86,70,70,40,50,21,21,75,60,25,22,32,85,85,65,55,20,89,54,23,20,30,89,95,72,53,17,89,154,23,20,30,189,95,72,153,117
355,712,3263,72,70,64,67,65,65,41,41,11,11,54,53,39,41,13,13,66,66,52,52,65,70,70,38,10,52,45,14,67,55,66,61,63,33,10,54,39,13,65,62,166,161,63,33,110,54,139,113,65,62
356,1407,3150,70,71,75,76,40,42,30,25,30,28,75,78,32,30,14,14,80,82,85,82,72,78,55,35,42,68,52,10,85,82,71,91,53,28,36,64,42,9,93,78,71,91,153,128,36,64,142,9,93,78
357,523,3194,64,67,6,7,19,19,78,76,24,26,38,36,72,74,16,15,74,76,38,40,70,10,20,75,27,35,75,14,78,42,63,8,17,85,22,31,84,13,87,36,63,8,117,85,122,131,84,113,187,36
358,554,3375,61,61,65,65,36,38,42,36,8,8,6,6,50,53,70,70,83,85,75,80,60,62,35,35,8,7,55,72,85,85,60,57,29,35,6,5,53,77,90,89,60,57,129,35,6,105,153,77,90,189
359,788,3151,30,24,70,73,9,9,60,60,80,79,35,34,5,5,68,70,18,17,37,39,22,75,10,60,78,32,5,72,16,40,21,87,9,54,82,31,4,81,16,32,21,87,9,154,182,31,104,81,116,32
360,460,3263,67,66,68,68,72,72,31,32,10,10,45,46,45,45,13,13,75,70,55,55,65,70,70,38,10,52,45,14,67,55,66,61,63,33,10,54,39,13,65,62,166,161,63,33,110,54,139,113,65,62
361,317,3478,4,4,42,47,37,36,51,55,76,76,52,52,9,9,45,50,76,75,88,85,5,52,35,60,75,52,10,55,73,82,4,33,28,57,86,46,10,46,73,98,4,133,128,157,86,46,10,146,73,98
362,327,3350,54,54,85,85,32,33,65,65,23,23,58,58,65,67,8,8,93,91,64,64,55,85,38,65,22,60,70,9,85,65,62,98,33,59,19,54,61,7,94,72,62,198,33,159,19,154,161,107,194,72
363,542,3168,74,74,33,35,79,79,34,39,81,80,22,25,76,76,7,7,27,22,30,30,72,38,78,52,78,28,75,7,18,32,80,33,87,35,82,25,79,5,22,29,180,33,187,135,182,125,79,5,22,29
364,324,3097,3,3,2,2,83,85,67,70,13,13,7,6,74,74,63,67,88,88,32,35,3,2,82,68,14,5,70,68,85,35,2,1,100,56,12,4,74,69,100,38,102,101,200,56,112,104,74,69,100,38
365,690,3489,67,70,90,90,71,71,30,25,42,50,45,45,65,67,50,55,60,60,88,85,72,75,72,22,55,52,72,58,62,82,77,85,81,21,52,48,70,53,61,78,77,85,81,21,52,48,170,53,61,78
366,348,3369,48,48,42,45,58,58,80,84,46,47,62,64,58,58,80,80,68,68,55,60,45,52,65,95,55,78,62,76,75,72,39,41,59,95,50,91,52,79,70,68,39,141,59,195,150,91,152,179,70,68
367,606,3188,73,73,82,82,55,58,35,35,72,75,68,69,70,72,55,55,83,83,68,70,72,85,60,32,78,72,80,52,82,72,77,90,60,27,91,76,66,47,92,81,77,90,160,27,191,76,66,147,192,81
368,540,3175,82,80,75,74,37,40,45,47,55,58,40,41,55,58,82,83,53,54,33,35,74,67,52,52,60,40,60,85,55,52,71,65,33,42,54,32,64,90,51,54,171,65,133,42,154,32,164,90,51,54
369,673,3468,75,76,62,64,40,45,20,19,27,28,58,56,68,70,26,31,58,60,60,62,76,68,52,16,32,54,73,45,65,68,79,63,54,16,30,48,73,34,59,56,179,163,54,16,30,148,73,34,159,56
370,422,3034,73,73,27,25,65,68,70,70,5,8,13,13,1,1,85,80,78,75,50,55,76,22,72,75,10,14,1,78,72,65,79,20,77,76,7,14,1,82,75,67,179,120,77,176,7,14,1,182,75,67
371,199,3473,68,68,51,50,40,40,38,38,83,88,90,90,73,76,16,18,70,73,60,63,75,45,40,35,85,85,85,18,78,65,88,43,32,27,97,94,96,15,78,55,188,43,32,127,197,194,96,15,178,55
372,560,3009,18,18,5,5,17,17,85,75,40,50,10,10,95,90,65,65,96,90,22,20,19,5,18,70,52,9,82,65,85,20,17,4,15,74,41,7,100,58,100,17,17,4,15,74,141,107,200,158,100,117
373,541,3367,45,50,35,38,16,16,55,42,66,70,41,45,32,36,80,75,80,70,77,78,52,35,18,45,78,52,35,85,72,78,47,27,15,40,91,35,28,100,71,92,47,127,15,40,91,135,128,100,71,92
374,307,3100,55,55,54,58,53,53,48,48,13,13,73,73,70,70,68,68,38,40,61,65,62,65,52,55,14,75,74,68,45,70,61,58,44,50,12,88,85,69,41,67,61,58,144,150,112,188,185,69,41,167
375,404,3100,56,58,54,54,55,55,53,53,12,13,76,76,78,78,61,65,40,42,60,62,62,65,52,55,14,75,74,68,45,70,61,58,44,50,12,88,85,69,41,67,61,58,144,150,112,188,185,69,41,167
376,1060,3488,67,70,13,13,14,14,48,48,79,78,82,80,32,37,7,8,78,75,86,86,72,14,14,52,78,75,42,10,73,85,81,14,13,54,82,80,36,8,77,97,81,14,113,54,82,80,36,8,177,97
377,320,3376,86,86,85,85,77,77,88,88,4,4,72,75,64,66,12,12,50,50,58,58,85,82,74,75,3,78,72,12,52,60,95,93,71,85,2,92,74,12,46,60,95,193,171,85,102,92,174,12,46,60
378,1397,3461,48,55,55,55,32,30,55,55,35,45,88,86,45,42,45,48,3,2,48,50,60,52,28,54,45,82,35,52,2,52,55,44,26,45,32,98,31,50,1,42,155,144,26,145,132,98,131,50,101,42
379,650,3115,74,76,8,10,24,26,4,3,66,53,35,34,44,46,77,72,76,75,81,75,78,10,27,3,58,34,48,72,75,75,87,7,18,3,53,25,45,77,88,85,187,7,118,3,53,25,45,77,188,85
380,318,3052,88,88,90,88,65,68,63,68,78,78,2,2,3,3,33,33,86,86,55,58,78,78,75,70,75,2,3,35,85,60,83,99,87,73,80,1,2,29,89,60,83,199,87,173,80,101,2,129,189,160
381,638,3354,85,80,50,60,40,50,65,60,45,50,5,5,30,40,30,25,32,28,80,80,78,65,55,60,52,3,52,16,22,85,78,58,51,60,41,2,35,16,20,93,178,58,151,60,141,2,135,116,120,93
382,210,3341,88,88,85,85,78,78,70,70,50,50,50,50,22,22,70,70,40,40,75,75,82,85,75,62,45,70,22,75,45,72,92,96,79,68,43,63,19,87,37,74,192,96,79,168,43,63,19,87,37,174
383,628,3055,3,3,52,52,73,73,68,68,29,29,46,46,81,81,68,68,62,62,23,23,3,45,78,65,25,45,78,60,70,27,2,37,82,58,23,40,87,54,67,19,102,37,182,58,23,40,187,154,167,119
384,681,3340,8,9,54,56,3,3,52,53,31,30,74,72,13,12,65,65,70,69,20,18,10,58,3,55,27,70,10,65,68,16,8,53,2,51,19,83,6,59,64,16,8,53,102,51,119,183,106,159,64,116
385,330,3364,16,16,32,35,50,52,27,30,55,55,70,70,55,57,85,85,80,78,90,90,16,48,60,34,52,67,63,85,72,85,16,45,55,26,49,65,56,90,74,88,16,45,155,126,149,65,156,90,174,88
386,513,3172,19,19,71,71,76,76,26,26,13,13,67,67,78,78,23,23,40,40,84,84,18,72,75,27,12,72,73,22,52,85,15,70,80,18,12,81,73,20,35,93,15,170,80,118,12,81,73,120,135,93
387,375,3148,36,36,32,31,52,59,27,27,38,36,68,68,1,1,69,69,72,72,70,75,35,27,65,28,35,72,1,72,72,78,29,19,55,25,28,76,1,68,80,91,129,119,55,125,28,76,1,68,180,91
388,526,3074,33,29,19,18,11,12,24,25,28,28,84,85,79,80,34,48,3,4,90,95,22,16,12,28,27,85,82,52,4,95,21,16,8,25,18,89,93,41,3,95,21,16,108,125,118,189,193,141,103,195
389,363,3463,40,40,28,32,80,80,85,78,65,62,64,62,58,60,30,30,78,78,15,15,32,45,82,76,60,60,65,32,75,14,31,34,98,79,64,54,58,27,84,14,31,134,98,179,164,154,58,27,84,14
390,660,3205,78,78,46,50,73,73,61,65,68,68,55,61,56,56,65,66,57,58,8,9,78,52,75,68,70,62,54,65,60,9,99,47,89,63,83,52,48,66,60,7,199,147,89,163,183,152,148,166,160,107
391,792,3233,45,43,5,4,34,32,68,64,90,87,65,66,56,47,80,76,92,90,8,10,45,4,32,65,85,65,45,74,85,10,39,3,30,55,96,58,40,71,89,10,39,103,30,55,96,158,40,171,189,110
392,1224,3425,71,70,85,85,42,47,53,55,34,37,87,85,44,44,38,40,60,60,70,70,65,85,52,62,48,82,45,45,65,74,66,93,41,61,45,92,44,34,65,85,166,93,141,61,45,192,44,34,165,185
393,472,3323,80,80,2,2,67,67,8,9,70,68,50,50,50,50,8,9,40,37,75,73,78,3,70,10,65,52,52,10,35,75,82,2,67,10,67,41,54,8,38,86,182,102,167,10,67,141,54,8,38,86
394,431,3426,65,65,80,81,45,45,20,17,3,4,45,45,52,58,40,40,20,21,20,19,65,82,45,15,5,45,63,52,22,18,66,92,41,14,4,37,56,35,19,15,166,192,41,114,104,137,156,135,19,15
395,242,3123,83,80,47,53,34,34,57,55,61,61,86,85,31,34,70,75,30,28,81,81,75,55,34,52,60,85,35,78,14,82,85,50,26,49,54,93,38,91,24,92,85,150,126,149,154,93,38,191,124,192
396,402,3024,43,42,62,71,27,26,77,72,3,3,54,56,10,8,52,55,39,35,44,43,55,82,34,85,1,68,10,52,45,50,53,100,26,88,1,63,9,46,37,43,153,200,126,88,1,163,9,46,137,143
397,619,3013,60,60,28,28,33,43,61,66,70,70,7,7,12,16,65,66,68,70,30,30,72,28,52,75,75,8,20,68,72,34,75,26,49,70,88,6,17,63,74,25,175,26,149,70,188,6,117,163,174,25
398,990,3168,65,70,40,36,72,79,40,45,75,76,22,26,72,72,7,7,19,19,22,31,72,38,78,52,78,28,75,7,18,32,80,33,87,35,82,25,79,5,22,29,180,33,187,135,182,125,79,5,22,29
399,374,3106,72,75,83,80,65,66,38,38,56,60,10,11,17,20,34,34,68,70,89,87,75,75,68,35,60,12,22,35,72,85,76,85,64,38,64,13,15,27,81,94,176,85,64,38,164,13,115,127,81,194
400,844,3145,62,72,5,6,38,42,55,63,15,13,35,30,7,8,66,66,88,87,76,77,75,7,45,68,12,27,8,67,85,78,70,5,34,56,11,23,6,65,97,86,70,5,34,56,111,123,6,65,197,186
